uid,sdn_name,alt_names,sdn_type,sdn_program,
36,AEROCARIBBEAN AIRLINES,AERO-CARIBBEAN,Entity ,CUBA,
173,"ANGLO-CARIBBEAN CO., LTD.",AVIA IMPORT,Entity ,CUBA,
306,BANCO NACIONAL DE CUBA,NATIONAL BANK OF CUBA,Entity ,CUBA,
424,BOUTIQUE LA MAISON,COIBA,Entity ,CUBA,
475,CASA DE CUBA,CRYMSA,Entity ,CUBA,
480,"CECOEX, S.A.",COPROVA,Entity ,CUBA,
535,CIMEX,COPROVA SARL,Entity ,CUBA,
536,CIMEX IBERICA,CIMEX,Entity ,CUBA,
537,"CIMEX, S.A.",DELVEST HOLDING COMPANY,Entity ,CUBA,
540,"COMERCIAL IBEROAMERICANA, S.A.",CUBANA AIRLINES,Entity ,CUBA,
551,"COMERCIAL CIMEX, S.A.",CARIBBEAN EXPORT ENTERPRISE,Entity ,CUBA,
552,"COMERCIAL DE RODAJES Y MAQUINARIA, S.A.",CUBATUR,Entity ,CUBA,
555,COMERCIALIZACION DE PRODUCTOS VARIOS,GALAX INC.,Entity ,CUBA,
559,COMPANIA DE IMPORTACION Y EXPORTACION IBERIA,"HAVANA INTERNATIONAL BANK, LTD",Entity ,CUBA,
576,"CORPORACION CIMEX, S.A.",CUFLET,Entity ,CUBA,
578,COTEI,CUBAN FREIGHT ENTERPRISE,Entity ,CUBA,
589,"CRYMSA - ARGENTINA, S.A.","TROVER, S.A.",Entity ,CUBA,
590,CUBACANCUN CIGARS AND GIFT SHOPS,TROPICANA TOURS GMBH,Entity ,CUBA,
591,CUBAEXPORT,"ZAYDAN, Muhammad",Entity ,CUBA,
592,CUBAFRUTAS,"AL-ZAWAHIRI, Ayman",Entity ,CUBA,
593,CUBAN CIGARS TRADE,"SALIM, Ahmad Fuad",Entity ,CUBA,
621,CUBANATUR,"AL-ZAWAHIRI, Aiman Muhammad Rabi",Entity ,CUBA,
622,CUBATABACO,"ZUMAR, Abbud",Entity ,CUBA,
636,"CUMEXINT, S.A.","AL-ZUMAR, Abbud",Entity ,CUBA,
651,"DELVEST HOLDING, S.A.","EL-ZOMOR, Aboud Abdul Latif Hasan",Entity ,CUBA,
701,EDICIONES CUBANAS,"AL-ZUMUR, Abood Abdul Latif Hassan",Entity ,CUBA,
702,"EDYJU, S.A.","AL-ZAMUR, Abboud Abdul Latif Hassan",Entity ,CUBA,
